scene_id,trip_id,substance,block,coder_A,coder_B,rater_status,rater_A_individuated,rater_B_individuated,stage1_driver,parent_scene_id,stage1_verdict,verdict_flavour,verdict_source,canonical_span_start,canonical_span_end,scene_word_count,scene_rank_in_trip,canonical_desc,rater_A_excerpt,rater_B_excerpt,narrative_passage,stage1_rationale,verdict_rationale,n_scenes_in_trip,n_convergent_in_trip,n_solo_A_in_trip,n_solo_B_in_trip,n_scenes_rater_A_in_trip,n_scenes_rater_B_in_trip,n_miss_in_trip,n_granularity_in_trip,n_ambiguity_2a_in_trip,n_ambiguity_2b_in_trip,trip_word_count
Brugmansia_02_S03_A_RCL,Brugmansia_02,brugmansia,01-10,Brendan,Noah,only_A,True,False,RCL,,MISS,,manual,2392,2460,68,3,Another friend talking who wasn't really there,A01,,"I was talking to another friend who was with me, but he wasn't reall",No automatic classification; likely genuine miss by other rater,Auditory/social hallucination: conversing with a friend who wasn't really there. Matches the pair's criterion across every other Brugmansia trip (conversations with non-existent people are individuated consistently as _AB).,6,0,3,3,3,3,4,0,0,2,948
Brugmansia_02_S04_A_RCL,Brugmansia_02,brugmansia,01-10,Brendan,Noah,only_A,True,False,RCL,,MISS,,manual,2669,2980,311,4,Fake inmate friend in the police car who later vanishes,A02,,"While in the back of the police car they picked up another inmate to take to the jail. We laughed and joked about how stupid the cop driving was and how horrible his driving skills were. Shortly before we arrived at the jail, I was distracted, when I looked over, the inmate that had now become my friend was go",No automatic classification; likely genuine miss by other rater,"Concrete visual+social hallucination: a fake inmate in the police car becomes a friend, then vanishes. Classic person-hallucination pattern consistently individuated elsewhere.",6,0,3,3,3,3,4,0,0,2,948
Brugmansia_02_S05_A_RCL,Brugmansia_02,brugmansia,01-10,Brendan,Noah,only_A,True,False,RCL,,MISS,,manual,4587,4680,93,5,People visiting his jail cell who weren't there,A03,,The rest of the night people kept coming to visit me at my cell that weren't there. Every onc,No automatic classification; likely genuine miss by other rater,"Multiple visitors to jail cell ""that weren't there"". Concrete person hallucinations matching pair's criterion.",6,0,3,3,3,3,4,0,0,2,948
Brugmansia_02_S06_B_RCL,Brugmansia_02,brugmansia,01-10,Brendan,Noah,only_B,False,True,RCL,,AMBIGUITY,2b,manual,4817,5050,233,6,Post-trip inability to parse letters into words,,B03,"When I was finally bailed out I couldn't read anything. I could see the letters, but just couldn’t get them to form words. It took another day to sober up completely. The after effects were mostly related to being unable to read.",No automatic classification; likely genuine miss by other rater,"Post-trip reading impairment (letters visible but not forming words). Cognitive / residual-effects state, not a hallucinatory scene. Not a perceptual hallucination under any reasonable reading.",6,0,3,3,3,3,4,0,0,2,948
Brugmansia_03_S01_AB,Brugmansia_03,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,749,900,151,1,"On the drive home, sees snakes everywhere on the road",A01,B01,On the drive I kept seeing snakes. Snakes were everywhere in the road yet my friend Chino assured me everything was alright. As far as I know my friend,,Both raters individuated this passage.,3,3,0,0,3,3,0,0,0,0,603
Brugmansia_03_S02_AB,Brugmansia_03,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,967,1250,283,2,Believes he is wearing a shirt and scrapes his chest pulling at skin as if it were fabric,A02,B02,I walked in without a shirt on and my roommate asked me where it was. I argued with him for almost a half hour that I DID have a shirt on and I was scraping the skin on my chest and pulling it out thinking it was my shirt. Not until I looked down did I realize he was right. This was,,Both raters individuated this passage.,3,3,0,0,3,3,0,0,0,0,603
Brugmansia_03_S03_AB,Brugmansia_03,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,1408,1500,92,3,Fighting someone imagined in his room; asks roommate for help,A03,B03,I told him I was fighting someone and to help me. He then brought me into the living room an,,Both raters individuated this passage.,3,3,0,0,3,3,0,0,0,0,603
Brugmansia_04_S01_AB,Brugmansia_04,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,1650,1980,330,1,Multicolored face emerges from shadow in corner of room,A01,B01,"I am now seeing odd hallucinations. There is a face that's multicolored coming from the corner of my room, it just comes out of the shadow for a second, then returns. I can't make out who the face is due to its colorful nature. The face is black for the most part, as if its face were see-thru, but its facial features are neon li",,Both raters individuated this passage.,15,11,3,1,14,12,2,0,2,0,1653
Brugmansia_04_S02_AB,Brugmansia_04,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,1986,2200,214,2,Green/yellow waves of light on ceiling; doily patterns; pink/green/blue drops on walls,A02,B02,There are waves of green & yellow illuminations flowing across my cieling. The patterns beneath (higher than) the coloring look like doily patterns that are morphing and whatnot. The walls look as if someone splatt,,Both raters individuated this passage.,15,11,3,1,14,12,2,0,2,0,1653
Brugmansia_04_S03_AB,Brugmansia_04,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,3342,3700,358,3,Washcloth in shower appears as torn piece of face with eye still in socket,A03,B03,"Once I was in the shower there was a folded & twisted washcloth... But my mind envisioned this rag as a chunk of a person's face torn off and set there with the eye still in the socket. This eye wouldn't quit making eye contact with me. I was shocked at first when I saw it, and I jumped. I don't usually jump even if I'm scared to death. I don't know what m",,Both raters individuated this passage.,15,11,3,1,14,12,2,0,2,0,1653
Brugmansia_04_S04_AB,Brugmansia_04,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,3820,4180,360,4,Screw in shower ceiling grows legs and sniffs around; looks like a spider,A04,"B04,B05","The second oddity that I noticed is that one of the screws holding the shower crown in (the board running along the walls at the ceiling) grew legs and started 'sniffing' around the shower. It appeared to be a spider, but when I got closer to take a look, the legs dissipated; they faded out until the were gone. And there... Was the screw.. In all of its glor",,Both raters individuated this passage.,15,11,3,1,14,12,2,0,2,0,1653
Brugmansia_04_S05_A_RCL,Brugmansia_04,brugmansia,01-10,Brendan,Noah,only_A,True,False,RCL,,AMBIGUITY,2a,manual,4185,4275,90,5,Hands look red in the shower (like niacin flush),A05,,Another strange thing is that my hands were red in the shower.. Actually - they're still r,No automatic classification; likely genuine miss by other rater,"Hands appear red in shower — narrative adds ""actually, they're still red"", suggesting possibly real physiological flush rather than hallucinated colour. Edge case: Guidelines do not rule cleanly on how to handle colour perceptions that may persist after the trip as real phenomena.",15,11,3,1,14,12,2,0,2,0,1653
Brugmansia_04_S06_A_RCL,Brugmansia_04,brugmansia,01-10,Brendan,Noah,only_A,True,False,RCL,,MISS,,manual,4346,4580,234,6,"Writing on shower wall: 'you are not...', fades when approached",A06,,"Also, where the shower wall meets the floor there is some writing, but it's hard to read, and when I get closer it fades away. I managed to read part of this; which reads, 'you are not...' I have no idea as to the meaning of this. 

E",No automatic classification; likely genuine miss by other rater,"Hallucinated text on shower wall (""you are not...""), fades when approached. Concrete visual hallucination with classic fade-on-approach dynamics. Strongly matches B's criterion across the rich AB set in this trip (hallucinated text, fading objects).",15,11,3,1,14,12,2,0,2,0,1653
Brugmansia_04_S07_B_RCL,Brugmansia_04,brugmansia,01-10,Brendan,Noah,only_B,False,True,RCL,,AMBIGUITY,2a,manual,5202,5270,68,7,Lying on bed watching 'all sorts of things' fly by,,B06,I laid back on my bed and watched all sorts of things fly by. These ,No automatic classification; likely genuine miss by other rater,"Vague summary: ""watched all sorts of things fly by"". No specific object, modality, or concrete content. Guidelines do not rule on whether non-specific generalised hallucination summaries constitute a discrete scene.",15,11,3,1,14,12,2,0,2,0,1653
Brugmansia_04_S08_AB,Brugmansia_04,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,6253,6600,347,8,Sees smoke and an imagined burning cigarette on desk; reaches for it repeatedly,A07,B07,"there appears to be smoke coming from my desk. The smoke keeps flying by my face, and I say to myself 'oh yea, I need to smoke that cigarette before it's dead' but when I reach down to grab it... I realize that I don't even have an ashtray in here right now, let alone a burning cigarette. I've already done this several times today. My pupils are",,Both raters individuated this passage.,15,11,3,1,14,12,2,0,2,0,1653
Brugmansia_04_S09_AB,Brugmansia_04,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,6677,7200,523,9,Hallucinated music playing from his stereo / radio,"A08,A11",B09,". 

I just looked out my bedroom door b/c of the music and I wanted to know who was messing with my stereo. I'm the only one here, so my radio shouldn't have changed stations. When I opened my door there stood sherlock holmes. Such and odd person to see; from all of my research you tend to run into people you used to know and such. I've never met Mr. Holmes.. But he's been to my house now. By the way... There wasn't any music playing to start with. As I am typing this out, my door is attempting to close itself, but I ",,Both raters individuated this passage.,15,11,3,1,14,12,2,0,2,0,1653
Brugmansia_04_S10_AB,Brugmansia_04,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,6853,6970,117,10,Sherlock Holmes standing at his bedroom door when he opens it,A09,B08,When I opened my door there stood sherlock holmes. Such and odd person to see; from all of my research you tend to ru,,Both raters individuated this passage.,15,11,3,1,14,12,2,0,2,0,1653
Brugmansia_04_S11_A_RCL,Brugmansia_04,brugmansia,01-10,Brendan,Noah,only_A,True,False,RCL,,MISS,,manual,7410,7550,140,11,Text on screen turns into shifting colours,A10,,"This text is turning shades of grey, red, orange, yellow, blue, & violet, but only certain words. The problem is, I can't tell which ones ar",No automatic classification; likely genuine miss by other rater,"Text on screen shifting colours (grey/red/orange/yellow/blue/violet). Concrete visual alteration matching AB criterion (S02 ""green/yellow waves of light on ceiling"", S15 ""walls pink-red""). B should have individuated.",15,11,3,1,14,12,2,0,2,0,1653
Brugmansia_04_S12_AB,Brugmansia_04,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,7978,8200,222,12,A spider builds a web across the bottom of his monitor; disappears when looked at,A12,B10,"I am semi-watching a spider build a spider web across the bottom of my monitor. The reason I say 'semi-watching' is b/c if I look directly at her or her web.. It disappears. 

I am going to go ahead and post this. The trip",,Both raters individuated this passage.,15,11,3,1,14,12,2,0,2,0,1653
Brugmansia_04_S13_AB,Brugmansia_04,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,8358,8450,92,13,Sinister growl from under his bed,A13,B11,Something under my bed just growled. It was quite a sinister growl. I know it's only in my h,,Both raters individuated this passage.,15,11,3,1,14,12,2,0,2,0,1653
Brugmansia_04_S14_AB,Brugmansia_04,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,8485,8600,115,14,A penny levitates from behind monitor and lands silently on top,A14,B12,"Also a penny just came out from behind my monitor and landed on top of it, but without sound. Sneaky pennies. My wa",,Both raters individuated this passage.,15,11,3,1,14,12,2,0,2,0,1653
Brugmansia_04_S15_AB,Brugmansia_04,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,8595,8760,165,15,Walls appear projected on a moving backdrop; assume pink-red colour,A15,B13,My walls look as thought they're being projected onto a backdrop and the wind is blowing it around. And they're assuming a pink-red color.,,Both raters individuated this passage.,15,11,3,1,14,12,2,0,2,0,1653
Brugmansia_05_S01_A_RCL,Brugmansia_05,brugmansia,01-10,Brendan,Noah,only_A,True,False,RCL,,MISS,,manual,1651,1720,69,1,Hears a loud crash near his bed (no apparent source),A01,,"I heard a loud crash near my bed, which prompted me to get up and see",No automatic classification; likely genuine miss by other rater,"""Loud crash near my bed"" (no apparent source). Concrete auditory hallucination. Pair's criterion consistently includes auditory hallucinations (music, voices) elsewhere.",1,0,1,0,1,0,1,0,0,0,1540
Brugmansia_06_S01_A_AMP,Brugmansia_06,brugmansia,01-10,Brendan,Noah,only_A,True,False,AMP,,AMBIGUITY,2a,auto,527,570,43,1,Lights start to appear brighter,A01,,"Lights are starting to get brighter, and I ","Ambient perceptual-amplification content, no explicit object",Ambient perceptual amplification without a discrete hallucinatory object — the Guidelines do not rule cleanly on whether brightness/colour/shimmer changes alone constitute a scene.,7,1,3,3,4,4,3,0,2,1,759
Brugmansia_06_S02_AB,Brugmansia_06,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,1374,1480,106,2,Depth perception gone; eyes cannot focus; retinas hurt despite sunglasses,A02,B01,"My depth perception is gone, my eyes cannot focus, my retinas hurt, despite the sunglasses I’m wearing. I ",,Both raters individuated this passage.,7,1,3,3,4,4,3,0,2,1,759
Brugmansia_06_S03_B_RCL,Brugmansia_06,brugmansia,01-10,Brendan,Noah,only_B,False,True,RCL,,AMBIGUITY,2a,manual,1542,1600,58,3,Everything touched feels strangely new (tactile),,B02,rab my water bottle. I feel I need to quench the murderous,No automatic classification; likely genuine miss by other rater,"Tactile alteration: ""everything touched feels strangely new"". General tactile heightening without discrete object. Only _AB scene in this trip is a perceptual dysfunction (depth perception), so criterion for tactile is not established. Guidelines unclear on whether diffuse tactile ""feels strange"" sensations constitute a scene.",7,1,3,3,4,4,3,0,2,1,759
Brugmansia_06_S04_A_RCL,Brugmansia_06,brugmansia,01-10,Brendan,Noah,only_A,True,False,RCL,,MISS,,manual,1641,1770,129,4,Water bottle disappears as it gets to his mouth,A03,,"After about 20 minutes of looking at the bottle, I reach out and grab it, only for it to disappear as soon as it gets to my mouth",No automatic classification; likely genuine miss by other rater,"Water bottle disappears as it gets to his mouth. Classic disappearing-object hallucination. Pair's criterion includes many disappearing-object scenes elsewhere (Brugmansia_09_S03 CD player, Brugmansia_12_S03 pizza).",7,1,3,3,4,4,3,0,2,1,759
Brugmansia_06_S05_A_RCL,Brugmansia_06,brugmansia,01-10,Brendan,Noah,only_A,True,False,RCL,,MISS,,manual,1772,2130,358,5,"Friends S and T appear, have conversation; then vanish along with cigarette","A04,A05",,"I look to my left and see my friend S sitting right next to me. I don’t remember him being here, but I think he has. He, me and my friend T begin a full on conversation, talking about how needless all the drama in our lives is, while sharing a pack of Marlboro reds. I take a long drag, close my eyes and hold it in, enjoying the moment. But when I open my e",No automatic classification; likely genuine miss by other rater,"Friends S and T appear, have a full conversation, then vanish along with cigarettes. Concrete people+conversation hallucination, matches pair's criterion overwhelmingly.",7,1,3,3,4,4,3,0,2,1,759
Brugmansia_06_S06_B_RCL,Brugmansia_06,brugmansia,01-10,Brendan,Noah,only_B,False,True,RCL,,MISS,,manual,2178,2440,262,6,Play structure parts flipping him off / smiling / shadow is a cloud dragon,,B03,"I look around the park in front of me, and for a split second, it looks like part of the play structure is flipping me off, another part is smiling at me, and a shadow on the ground is a cloud dragon. From there on I only had bits and pieces of memory, fragments",No automatic classification; likely genuine miss by other rater,Play structure parts anthropomorphised (flipping off / smiling / shadow becomes cloud dragon). Multiple concrete visual anthropomorphisations. Clear hallucinatory scene by any reasonable criterion.,7,1,3,3,4,4,3,0,2,1,759
Brugmansia_06_S07_B_RCL,Brugmansia_06,brugmansia,01-10,Brendan,Noah,only_B,False,True,RCL,,AMBIGUITY,2b,manual,3816,3920,104,7,Post-trip inability to read rest of the night,,B04,"I cannot read the rest of the night, but by the next day, I am completely back to normal.",No automatic classification; likely genuine miss by other rater,"Post-trip reading impairment (""cannot read the rest of the night""). Cognitive residual-effects state, not a hallucinatory scene. Same pattern as Brugmansia_02_S06.",7,1,3,3,4,4,3,0,2,1,759
Brugmansia_07_S01_AB,Brugmansia_07,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,437,510,73,1,Flashes of light / sparkles in vision,A01,B01,I'm starting to see flashes of light. I saw tons of sparkles in my vision,,Both raters individuated this passage.,3,2,1,0,3,2,1,0,0,0,294
Brugmansia_07_S02_A_RCL,Brugmansia_07,brugmansia,01-10,Brendan,Noah,only_A,True,False,RCL,,MISS,,manual,810,860,50,2,Everything turning to jello visually,A02,,Everything's kind of turning to what looks like je,No automatic classification; likely genuine miss by other rater,"""Everything's kind of turning to jello visually"" — concrete whole-environment visual distortion. Matches AB S01 (flashes of light / sparkles) as ambient visual alteration criterion in this trip.",3,2,1,0,3,2,1,0,0,0,294
Brugmansia_07_S03_AB,Brugmansia_07,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,972,1130,158,3,Giant spider running in circles in living room; hisses when approached,A03,B02,"I've been seeing this giant spider run around in circles in my livingroom. Everytime I get near it, it hisses at me. It's started to freak me out. 

4:00 am 
",,Both raters individuated this passage.,3,2,1,0,3,2,1,0,0,0,294
Brugmansia_08_S01_A_RCL,Brugmansia_08,brugmansia,01-10,Brendan,Noah,only_A,True,False,RCL,,MISS,,manual,843,1180,337,1,Talking to J then realises J is 30 feet behind; had been conversing with a non-existent companion,A01,,"I was talking to him and then after I said something I noticed he didn't respond, so I turned around and he was about 30 feet away. He hadn't started following behind me yet. It didn't really register in my brain that not only was I talking to someone that wasn't there at the time, but they talked to me as well. So, I waited a second f",No automatic classification; likely genuine miss by other rater,"Converses with a companion ""J"" then realises J is 30 feet behind — had been talking with a non-existent companion. Near-identical to AB S04 ""talking to imaginary people in the tent"". B's omission is a clear compliance gap.",8,7,1,0,8,7,1,0,0,0,681
Brugmansia_08_S02_AB,Brugmansia_08,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,1305,1480,175,2,"The moon dips, shoots up, and flies across the sky",A02,B01,"I saw what looked like the moon up in the sky, but as I kept staring at it, it dipped low, shot back up, dipped again, and then shot really fast across the sky to the left. 

",,Both raters individuated this passage.,8,7,1,0,8,7,1,0,0,0,681
Brugmansia_08_S03_AB,Brugmansia_08,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,1724,1830,106,3,Squiggly lines in a square shape in peripheral vision,A03,B02,I started hallucinating these little squiggly lines in a square shape just outside in my peripheral vision,,Both raters individuated this passage.,8,7,1,0,8,7,1,0,0,0,681
Brugmansia_08_S04_AB,Brugmansia_08,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,1954,2140,186,4,Talking to imaginary people in the tent; waiting for responses that don't come,A04,B03,"I began talking to people who weren't there, then waiting for a response after some conversation, not receiving one and then getting mad at myself for talking to people who weren't there",,Both raters individuated this passage.,8,7,1,0,8,7,1,0,0,0,681
Brugmansia_08_S05_AB,Brugmansia_08,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,2142,2400,258,5,Wakes to hearing J whisper his name repeatedly; J denies having spoken,A05,B04,"I 'woke' up at one point to J whispering my name over and over before I could respond. He was sitting up and I yelled 'What man?!' To which he responded ,'I didn't say anything dude.' 

I was beginning to realize at this point that I was totally out of my he",,Both raters individuated this passage.,8,7,1,0,8,7,1,0,0,0,681
Brugmansia_08_S06_AB,Brugmansia_08,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,2404,2600,196,6,Blows on logs to flare up a fire that isn't in the tent,A06,B05,"I tried blowing on logs in the tent to flare up a fire that wasn't there before I realized it wasn't a good idea to have fire in a nylon tent. I got naked and tried, squatting, to dig up the plast",,Both raters individuated this passage.,8,7,1,0,8,7,1,0,0,0,681
Brugmansia_08_S07_AB,Brugmansia_08,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,2695,2800,105,7,Kept seeing 6-7 people in the tent when there were only 3,A07,B06,There were really only 3 people in the tent but I kept thinking there about 6 or 7 for some reason. The n,,Both raters individuated this passage.,8,7,1,0,8,7,1,0,0,0,681
Brugmansia_08_S08_AB,Brugmansia_08,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,2795,3060,265,8,In the morning: two people come into tent and have sex in front of him; imaginary person sits next to him,A08,B07,The next morning when I was a tad bit more coherent I thought 2 people came in the tent and started having sex right in front of me. Me and this imaginary person next to me tried to ignore it and then at some point I left the tent and actually went to sleep for rea,,Both raters individuated this passage.,8,7,1,0,8,7,1,0,0,0,681
Brugmansia_09_S01_AB,Brugmansia_09,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,934,1050,116,1,No depth perception; everything looks blurry / with fuzz growing on it,A01,B01,"I also had no depth perception and everything seemed blurry like it had fuzz growing on it. 

Once in the bathroom I",,Both raters individuated this passage.,5,4,1,0,5,4,1,0,0,0,713
Brugmansia_09_S02_AB,Brugmansia_09,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,1217,1380,163,2,Sees own reflection in mirror as a Cheshire-cat-like feline; tries to pet it,A02,B02,At the time I had no idea that the Cheshire cat looking feline in the mirror was myself and I was disturbed that I could not pet it (I tried to for quite some time,,Both raters individuated this passage.,5,4,1,0,5,4,1,0,0,0,713
Brugmansia_09_S03_A_RCL,Brugmansia_09,brugmansia,01-10,Brendan,Noah,only_A,True,False,RCL,,MISS,,manual,1383,1560,177,3,CD player disappears when looked at again,A03,,"Back in my bedroom I put on my headphones to listen to more music, but it didn’t play, when I looked down at the CD player again it wasn’t there. From reading previous reports I",No automatic classification; likely genuine miss by other rater,"CD player disappears when looked at again. Classic disappearing-object hallucination. Directly matches AB S05 (""bread turns into marker and disappears"") — same pattern.",5,4,1,0,5,4,1,0,0,0,713
Brugmansia_09_S04_AB,Brugmansia_09,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,1756,1940,184,4,Apparitions of parents walking into and out of room through a door that never opens,A04,B03,"This happened with other apparitions mainly my parents walking into my room and out but I soon knew these were hallucinations because the door never opened when they came in. 

I tried",,Both raters individuated this passage.,5,4,1,0,5,4,1,0,0,0,713
Brugmansia_09_S05_AB,Brugmansia_09,brugmansia,01-10,Brendan,Noah,both,True,True,,,CONVERGENT,,auto,1933,2170,237,5,Eating food that isn't there; bread turns into a marker and disappears,A05,B04,I tried to eat dinner but that was pointless as I think I was eating food that wasn’t even there and not even doing to good at that. For example I tried to drink a piece of bread I had and then the bread disappeared and where it was was ,,Both raters individuated this passage.,5,4,1,0,5,4,1,0,0,0,713
